,filename,outsideShape,factor,bitPerPart,radius,psnr,robustCheck,fragileRedCheck,fragileGreenCheck,fragileBlueCheck
0,10-10-1-4-1.png,"(10, 10)",1,4,1,44.16567295567379,0.7714646464646465,1.0,1.0,1.0
1,10-10-1-8-1.png,"(10, 10)",1,8,1,43.5809451772399,0.680239898989899,1.0,1.0,1.0
2,10-10-1-16-1.png,"(10, 10)",1,16,1,43.67555863393611,0.5954861111111112,1.0,1.0,1.0
3,10-10-1-32-1.png,"(10, 10)",1,32,1,43.61588772735396,0.5317234848484849,1.0,1.0,1.0
4,10-10-1-64-1.png,"(10, 10)",1,64,1,43.66584875224283,0.5213462752525253,1.0,1.0,1.0
5,10-10-10-4-1.png,"(10, 10)",10,4,1,42.17111632462067,0.6893939393939394,1.0,1.0,1.0
6,10-10-10-8-1.png,"(10, 10)",10,8,1,41.86506652850926,0.6041666666666666,1.0,1.0,1.0
7,10-10-10-16-1.png,"(10, 10)",10,16,1,41.801285178732186,0.5293560606060606,1.0,1.0,1.0
8,10-10-10-32-1.png,"(10, 10)",10,32,1,41.79345821532336,0.5171243686868687,1.0,1.0,1.0
9,10-10-10-64-1.png,"(10, 10)",10,64,1,41.88220621625731,0.5044981060606061,1.0,1.0,1.0
10,10-10-20-4-1.png,"(10, 10)",20,4,1,41.912756727709215,0.6654040404040404,1.0,1.0,1.0
11,10-10-20-8-1.png,"(10, 10)",20,8,1,41.74040913593289,0.5672348484848485,1.0,1.0,1.0
12,10-10-20-16-1.png,"(10, 10)",20,16,1,41.70278198304828,0.5159406565656566,1.0,1.0,1.0
13,10-10-20-32-1.png,"(10, 10)",20,32,1,41.66308996134683,0.5100220959595959,1.0,1.0,1.0
14,10-10-20-64-1.png,"(10, 10)",20,64,1,41.72877942534549,0.5066682449494949,1.0,1.0,1.0
15,10-10-30-4-1.png,"(10, 10)",30,4,1,41.92925768060118,0.639520202020202,1.0,1.0,1.0
16,10-10-30-8-1.png,"(10, 10)",30,8,1,41.7733742162859,0.5688131313131313,1.0,1.0,1.0
17,10-10-30-16-1.png,"(10, 10)",30,16,1,41.722034024868655,0.5235164141414141,1.0,1.0,1.0
18,10-10-30-32-1.png,"(10, 10)",30,32,1,41.693438406903056,0.5092329545454546,1.0,1.0,1.0
19,10-10-30-64-1.png,"(10, 10)",30,64,1,41.72867600402914,0.5037089646464646,1.0,1.0,1.0
20,10-10-40-4-1.png,"(10, 10)",40,4,1,41.82847097436276,0.6180555555555556,1.0,1.0,1.0
21,10-10-40-8-1.png,"(10, 10)",40,8,1,41.72591768532476,0.5577651515151515,1.0,1.0,1.0
22,10-10-40-16-1.png,"(10, 10)",40,16,1,41.70092233030833,0.515625,1.0,1.0,1.0
23,10-10-40-32-1.png,"(10, 10)",40,32,1,41.650787337347374,0.5015782828282829,1.0,1.0,1.0
24,10-10-40-64-1.png,"(10, 10)",40,64,1,41.672412902811615,0.5024463383838383,1.0,1.0,1.0
25,10-10-50-4-1.png,"(10, 10)",50,4,1,41.73808448808524,0.6092171717171717,1.0,1.0,1.0
26,10-10-50-8-1.png,"(10, 10)",50,8,1,41.646979363156966,0.5549242424242424,1.0,1.0,1.0
27,10-10-50-16-1.png,"(10, 10)",50,16,1,41.62766587308544,0.5143623737373737,1.0,1.0,1.0
28,10-10-50-32-1.png,"(10, 10)",50,32,1,41.5894641596268,0.5049715909090909,1.0,1.0,1.0
29,10-10-50-64-1.png,"(10, 10)",50,64,1,41.65202505385548,0.5035116792929293,1.0,1.0,1.0
30,10-10-60-4-1.png,"(10, 10)",60,4,1,41.74189675257316,0.6319444444444444,1.0,1.0,1.0
31,10-10-60-8-1.png,"(10, 10)",60,8,1,41.63509138908435,0.5602904040404041,1.0,1.0,1.0
32,10-10-60-16-1.png,"(10, 10)",60,16,1,41.66569136374103,0.514520202020202,1.0,1.0,1.0
33,10-10-60-32-1.png,"(10, 10)",60,32,1,41.57221710034488,0.508364898989899,1.0,1.0,1.0
34,10-10-60-64-1.png,"(10, 10)",60,64,1,41.65211559261168,0.5043008207070707,1.0,1.0,1.0
35,10-10-70-4-1.png,"(10, 10)",70,4,1,41.768129106944365,0.6193181818181818,1.0,1.0,1.0
36,10-10-70-8-1.png,"(10, 10)",70,8,1,41.62989909673584,0.5454545454545454,1.0,1.0,1.0
37,10-10-70-16-1.png,"(10, 10)",70,16,1,41.646025045356126,0.5071022727272727,1.0,1.0,1.0
38,10-10-70-32-1.png,"(10, 10)",70,32,1,41.5808017925344,0.5001578282828283,1.0,1.0,1.0
39,10-10-70-64-1.png,"(10, 10)",70,64,1,41.64790558370045,0.5025252525252525,1.0,1.0,1.0
40,10-10-80-4-1.png,"(10, 10)",80,4,1,41.68166244664823,0.5984848484848485,1.0,1.0,1.0
41,10-10-80-8-1.png,"(10, 10)",80,8,1,41.60536886134304,0.5422979797979798,1.0,1.0,1.0
42,10-10-80-16-1.png,"(10, 10)",80,16,1,41.635447279470704,0.5064709595959596,1.0,1.0,1.0
43,10-10-80-32-1.png,"(10, 10)",80,32,1,41.53835222062426,0.5051294191919192,1.0,1.0,1.0
44,10-10-80-64-1.png,"(10, 10)",80,64,1,41.60983549947584,0.502801452020202,1.0,1.0,1.0
45,10-10-90-4-1.png,"(10, 10)",90,4,1,41.67785254264948,0.6073232323232324,1.0,1.0,1.0
46,10-10-90-8-1.png,"(10, 10)",90,8,1,41.62638748561312,0.5511363636363636,1.0,1.0,1.0
47,10-10-90-16-1.png,"(10, 10)",90,16,1,41.63748812933497,0.5067866161616161,1.0,1.0,1.0
48,10-10-90-32-1.png,"(10, 10)",90,32,1,41.55615500881295,0.5073390151515151,1.0,1.0,1.0
49,10-10-90-64-1.png,"(10, 10)",90,64,1,41.65788236922938,0.5013809974747475,1.0,1.0,1.0
50,10-10-100-4-1.png,"(10, 10)",100,4,1,41.686770613121375,0.6085858585858586,1.0,1.0,1.0
51,10-10-100-8-1.png,"(10, 10)",100,8,1,41.59024976122902,0.5486111111111112,1.0,1.0,1.0
52,10-10-100-16-1.png,"(10, 10)",100,16,1,41.6283916905767,0.5132575757575758,1.0,1.0,1.0
53,10-10-100-32-1.png,"(10, 10)",100,32,1,41.54959752086137,0.5033933080808081,1.0,1.0,1.0
54,10-10-100-64-1.png,"(10, 10)",100,64,1,41.61979332078197,0.5036300505050505,1.0,1.0,1.0
55,10-10-1-4-2.png,"(10, 10)",1,4,2,43.848781051874816,0.6357323232323232,1.0,1.0,1.0
56,10-10-1-8-2.png,"(10, 10)",1,8,2,43.31533542855054,0.7266414141414141,1.0,1.0,1.0
57,10-10-1-16-2.png,"(10, 10)",1,16,2,42.82324336459709,0.6803977272727273,1.0,1.0,1.0
58,10-10-1-32-2.png,"(10, 10)",1,32,2,42.845841532165785,0.5944602272727273,1.0,1.0,1.0
59,10-10-1-64-2.png,"(10, 10)",1,64,2,42.73112740257037,0.5445075757575758,1.0,1.0,1.0
60,10-10-10-4-2.png,"(10, 10)",10,4,2,42.21075726301691,0.6666666666666666,1.0,1.0,1.0
61,10-10-10-8-2.png,"(10, 10)",10,8,2,41.7730510461119,0.6262626262626263,1.0,1.0,1.0
62,10-10-10-16-2.png,"(10, 10)",10,16,2,41.61553668160786,0.5224116161616161,1.0,1.0,1.0
63,10-10-10-32-2.png,"(10, 10)",10,32,2,41.51750303591223,0.5148358585858586,1.0,1.0,1.0
64,10-10-10-64-2.png,"(10, 10)",10,64,2,41.5221124795455,0.5089567550505051,1.0,1.0,1.0
65,10-10-20-4-2.png,"(10, 10)",20,4,2,41.9915806284018,0.6388888888888888,1.0,1.0,1.0
66,10-10-20-8-2.png,"(10, 10)",20,8,2,41.65771703201166,0.5946969696969697,1.0,1.0,1.0
67,10-10-20-16-2.png,"(10, 10)",20,16,2,41.56024699330004,0.5194128787878788,1.0,1.0,1.0
