,filename,outsideShape,factor,bitPerPart,radius,psnr
0,10-10-1-4-1.png,"(10, 10)",1,4,1,46.434616619054445
1,10-10-1-8-1.png,"(10, 10)",1,8,1,45.993809996183856
2,10-10-1-16-1.png,"(10, 10)",1,16,1,45.991298752984534
3,10-10-1-32-1.png,"(10, 10)",1,32,1,45.903815739275345
4,10-10-1-64-1.png,"(10, 10)",1,64,1,45.921189991245015
5,10-10-1-128-1.png,"(10, 10)",1,128,1,45.95518491913346
6,10-10-11-4-1.png,"(10, 10)",11,4,1,44.77950427839602
7,10-10-11-8-1.png,"(10, 10)",11,8,1,44.411628061840645
8,10-10-11-16-1.png,"(10, 10)",11,16,1,44.314725016659395
9,10-10-11-32-1.png,"(10, 10)",11,32,1,44.31242163701937
10,10-10-11-64-1.png,"(10, 10)",11,64,1,44.35117729590566
11,10-10-11-128-1.png,"(10, 10)",11,128,1,44.32950707831699
12,10-10-21-4-1.png,"(10, 10)",21,4,1,44.609415800216624
13,10-10-21-8-1.png,"(10, 10)",21,8,1,44.28941114654907
14,10-10-21-16-1.png,"(10, 10)",21,16,1,44.20368374597902
15,10-10-21-32-1.png,"(10, 10)",21,32,1,44.1978386812416
16,10-10-21-64-1.png,"(10, 10)",21,64,1,44.220028514739255
17,10-10-21-128-1.png,"(10, 10)",21,128,1,44.207098225454885
18,10-10-31-4-1.png,"(10, 10)",31,4,1,44.5811159984639
19,10-10-31-8-1.png,"(10, 10)",31,8,1,44.309836749070044
20,10-10-31-16-1.png,"(10, 10)",31,16,1,44.24956695860041
21,10-10-31-32-1.png,"(10, 10)",31,32,1,44.23604442600714
22,10-10-31-64-1.png,"(10, 10)",31,64,1,44.248576899273246
23,10-10-31-128-1.png,"(10, 10)",31,128,1,44.2342937832489
24,10-10-41-4-1.png,"(10, 10)",41,4,1,44.54141908055266
25,10-10-41-8-1.png,"(10, 10)",41,8,1,44.25514494058653
26,10-10-41-16-1.png,"(10, 10)",41,16,1,44.19563944870455
27,10-10-41-32-1.png,"(10, 10)",41,32,1,44.201502640258106
28,10-10-41-64-1.png,"(10, 10)",41,64,1,44.21242178193865
29,10-10-41-128-1.png,"(10, 10)",41,128,1,44.18722597621726
30,10-10-51-4-1.png,"(10, 10)",51,4,1,44.45019578735534
31,10-10-51-8-1.png,"(10, 10)",51,8,1,44.20227578941618
32,10-10-51-16-1.png,"(10, 10)",51,16,1,44.14407418675657
33,10-10-51-32-1.png,"(10, 10)",51,32,1,44.14819700693567
34,10-10-51-64-1.png,"(10, 10)",51,64,1,44.17197998702379
35,10-10-51-128-1.png,"(10, 10)",51,128,1,44.13712988462491
36,10-10-61-4-1.png,"(10, 10)",61,4,1,44.45716968674188
37,10-10-61-8-1.png,"(10, 10)",61,8,1,44.19296249328408
38,10-10-61-16-1.png,"(10, 10)",61,16,1,44.14425021656357
39,10-10-61-32-1.png,"(10, 10)",61,32,1,44.13267174238761
40,10-10-61-64-1.png,"(10, 10)",61,64,1,44.182114558086695
41,10-10-61-128-1.png,"(10, 10)",61,128,1,44.14503333217537
42,10-10-71-4-1.png,"(10, 10)",71,4,1,44.4552131954432
43,10-10-71-8-1.png,"(10, 10)",71,8,1,44.19448235119506
44,10-10-71-16-1.png,"(10, 10)",71,16,1,44.13807248801685
45,10-10-71-32-1.png,"(10, 10)",71,32,1,44.14820496313202
46,10-10-71-64-1.png,"(10, 10)",71,64,1,44.16500983472099
47,10-10-71-128-1.png,"(10, 10)",71,128,1,44.13781156323261
48,10-10-81-4-1.png,"(10, 10)",81,4,1,44.39207594075047
49,10-10-81-8-1.png,"(10, 10)",81,8,1,44.16225212877083
50,10-10-81-16-1.png,"(10, 10)",81,16,1,44.12051455936924
