,imageName,factor,fragile,robust,psnr
0,test1-marked.png,0,1.0,0.0,100.0
1,test1-marked.png,1,1.0,0.38125,62.25368231450207
2,test1-marked.png,2,1.0,0.6083333333333333,56.0482327369639
3,test1-marked.png,3,1.0,0.7583333333333333,52.73175858952477
4,test1-marked.png,4,1.0,0.8104166666666667,50.35760742262586
5,test1-marked.png,5,1.0,0.8541666666666666,49.016374662303534
6,test1-marked.png,6,1.0,0.8708333333333333,47.863181671279875
7,test1-marked.png,7,1.0,0.9041666666666667,46.82968340242429
8,test1-marked.png,8,1.0,0.9333333333333333,45.99977169690435
9,test1-marked.png,9,1.0,0.9333333333333333,45.18447386450404
10,test1-marked.png,10,1.0,0.96875,44.412179384355824
11,test1-marked.png,11,1.0,0.9729166666666667,43.731345179050464
12,test1-marked.png,12,1.0,0.9833333333333333,43.09107613790326
13,test1-marked.png,13,1.0,0.9791666666666666,42.53663592526081
14,test1-marked.png,14,1.0,0.9770833333333333,42.02578088246636
15,test1-marked.png,15,1.0,0.9729166666666667,41.57116880956555
16,test1-marked.png,16,1.0,0.9791666666666666,41.21658565035321
17,test1-marked.png,17,1.0,0.9791666666666666,40.88155252661966
18,test1-marked.png,18,1.0,0.9833333333333333,40.54562419753749
19,test1-marked.png,19,1.0,0.9770833333333333,40.20203368617711
20,test1-marked.png,20,1.0,0.9770833333333333,39.87937413512354
21,test1-marked.png,21,1.0,0.9770833333333333,39.56837141799746
22,test1-marked.png,22,1.0,0.9833333333333333,39.29878790200531
23,test1-marked.png,23,1.0,0.9833333333333333,39.05698223002859
24,test1-marked.png,24,1.0,0.9770833333333333,38.84441564965384
25,test1-marked.png,25,1.0,0.9770833333333333,38.63853886600956
26,test1-marked.png,26,1.0,0.975,38.47446144012538
27,test1-marked.png,27,1.0,0.975,38.34120220070688
28,test1-marked.png,28,1.0,0.9708333333333333,38.212967234897846
29,test1-marked.png,29,1.0,0.96875,38.06673915012024
30,test1-marked.png,30,1.0,0.96875,37.93286944041851
31,test1-marked.png,31,1.0,0.975,37.82088429359661
32,test1-marked.png,32,1.0,0.96875,37.71117617393907
33,test1-marked.png,33,1.0,0.9604166666666667,37.61958470079453
34,test1-marked.png,34,1.0,0.9666666666666667,37.52118572866148
35,test1-marked.png,35,1.0,0.9645833333333333,37.43110001299693
36,test1-marked.png,36,1.0,0.96875,37.332694035574484
37,test1-marked.png,37,1.0,0.96875,37.27587775966013
38,test1-marked.png,38,1.0,0.9729166666666667,37.22165123000644
39,test1-marked.png,39,1.0,0.96875,37.1608513547064
40,test1-marked.png,40,1.0,0.9666666666666667,37.10823555268587
41,test1-marked.png,41,1.0,0.9645833333333333,37.061224254100786
42,test1-marked.png,42,1.0,0.9604166666666667,37.002078243044274
43,test1-marked.png,43,1.0,0.9583333333333334,36.932051972600405
44,test1-marked.png,44,1.0,0.9583333333333334,36.885013085556466
