,filename,outsideShape,factor,bitPerPart,radius,psnr,robustCheck,fragileRedCheck,fragileGreenCheck,fragileBlueCheck
2365,500-500-90-8-201.png,"(500, 500)",90,8,201,38.51641294184957,0.9375,1.0,1.0,1.0
2130,500-500-30-4-51.png,"(500, 500)",30,4,51,36.440278420063386,0.9375,1.0,1.0,1.0
2202,500-500-40-4-101.png,"(500, 500)",40,4,101,39.79207772471088,0.9375,1.0,1.0,1.0
2233,500-500-90-8-101.png,"(500, 500)",90,8,101,33.98839650568061,0.9375,1.0,1.0,1.0
1891,250-250-70-8-51.png,"(250, 250)",70,8,51,35.89501737467018,0.9375,1.0,1.0,1.0
1357,100-100-60-8-41.png,"(100, 100)",60,8,41,41.240783324354,0.9375,1.0,1.0,1.0
2256,500-500-20-4-151.png,"(500, 500)",20,4,151,44.40870851140047,0.9375,1.0,1.0,1.0
2142,500-500-50-4-51.png,"(500, 500)",50,4,51,33.19497036656324,0.9375,1.0,1.0,1.0
2305,500-500-100-8-151.png,"(500, 500)",100,8,151,36.30557970921064,0.9375,1.0,1.0,1.0
1952,250-250-60-16-76.png,"(250, 250)",60,16,76,38.85806167571359,0.9375,1.0,1.0,1.0
2293,500-500-80-8-151.png,"(500, 500)",80,8,151,37.711564308955744,0.9375,1.0,1.0,1.0
2371,500-500-100-8-201.png,"(500, 500)",100,8,201,37.79515800850817,0.9375,1.0,1.0,1.0
2220,500-500-70-4-101.png,"(500, 500)",70,4,101,35.911324232050575,0.9375,1.0,1.0,1.0
2322,500-500-20-4-201.png,"(500, 500)",20,4,201,44.89773762393388,0.9375,1.0,1.0,1.0
1352,100-100-50-16-41.png,"(100, 100)",50,16,41,41.69845215103271,0.9375,1.0,1.0,1.0
2160,500-500-80-4-51.png,"(500, 500)",80,4,51,31.29984515297222,0.9375,1.0,1.0,1.0
1536,200-200-30-4-41.png,"(200, 200)",30,4,41,40.88819309429127,0.9375,1.0,1.0,1.0
2148,500-500-60-4-51.png,"(500, 500)",60,4,51,32.3310785771768,0.9375,1.0,1.0,1.0
2216,500-500-60-16-101.png,"(500, 500)",60,16,101,35.214875601398525,0.9375,1.0,1.0,1.0
1836,250-250-90-4-26.png,"(250, 250)",90,4,26,33.549353719761,0.9375,1.0,1.0,1.0
1842,250-250-100-4-26.png,"(250, 250)",100,4,26,33.3889374787509,0.9375,1.0,1.0,1.0
1806,250-250-40-4-26.png,"(250, 250)",40,4,26,35.25708873871098,0.9375,1.0,1.0,1.0
2274,500-500-50-4-151.png,"(500, 500)",50,4,151,41.01659678312837,0.9375,1.0,1.0,1.0
1818,250-250-60-4-26.png,"(250, 250)",60,4,26,34.221564923094945,0.9375,1.0,1.0,1.0
1472,200-200-30-16-21.png,"(200, 200)",30,16,21,36.09103576493657,0.9375,1.0,1.0,1.0
2221,500-500-70-8-101.png,"(500, 500)",70,8,101,35.282663799477334,0.9375,1.0,1.0,1.0
1219,100-100-50-8-21.png,"(100, 100)",50,8,21,38.69242246894102,0.9375,1.0,1.0,1.0
1225,100-100-60-8-21.png,"(100, 100)",60,8,21,38.27026181790526,0.9375,1.0,1.0,1.0
1632,200-200-80-4-61.png,"(200, 200)",80,4,61,38.655737725060064,0.9375,1.0,1.0,1.0
2186,500-500-10-16-101.png,"(500, 500)",10,16,101,44.56762489407001,0.9375,1.0,1.0,1.0
2262,500-500-30-4-151.png,"(500, 500)",30,4,151,43.42433674405673,0.9375,1.0,1.0,1.0
2190,500-500-20-4-101.png,"(500, 500)",20,4,101,43.38069273820865,0.9375,1.0,1.0,1.0
1812,250-250-50-4-26.png,"(250, 250)",50,4,26,34.63637350479095,0.9375,1.0,1.0,1.0
1500,200-200-80-4-21.png,"(200, 200)",80,4,21,34.35423553364279,0.9375,1.0,1.0,1.0
2208,500-500-50-4-101.png,"(500, 500)",50,4,101,38.28304629384638,0.9375,1.0,1.0,1.0
1610,200-200-40-16-61.png,"(200, 200)",40,16,61,41.96257891365168,0.9375,1.0,1.0,1.0
1273,100-100-30-8-31.png,"(100, 100)",30,8,31,42.70669370542769,0.9375,1.0,1.0,1.0
1280,100-100-40-16-31.png,"(100, 100)",40,16,31,40.72833913344433,0.9366776315789472,1.0,1.0,1.0
1527,200-200-10-32-41.png,"(200, 200)",10,32,41,44.56775809220105,0.9366319444444444,1.0,1.0,1.0
1533,200-200-20-32-41.png,"(200, 200)",20,32,41,40.75332160809188,0.9366319444444444,1.0,1.0,1.0
1965,250-250-80-32-76.png,"(250, 250)",80,32,76,35.972586622197944,0.9363839285714286,1.0,1.0,1.0
1827,250-250-70-32-26.png,"(250, 250)",70,32,26,32.83762948659452,0.9363839285714286,1.0,1.0,1.0
1297,100-100-70-8-31.png,"(100, 100)",70,8,31,39.26207704444008,0.9358552631578948,1.0,1.0,1.0
1315,100-100-100-8-31.png,"(100, 100)",100,8,31,38.36972708887628,0.9358552631578948,1.0,1.0,1.0
